pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,879.6951014094449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,879.6951014094449
